State,Code,Year,Democrats,Republicans,Others
New Mexico,NM,1964,4,0,0
New York,NY,1964,43,0,0
North Carolina,NC,1964,13,0,0
North Dakota,ND,1964,4,0,0
Ohio,OH,1964,26,0,0
Oklahoma,OK,1964,8,0,0
Oregon,OR,1964,6,0,0
Pennsylvania,PA,1964,29,0,0
Rhode Island,RI,1964,4,0,0
South Carolina,SC,1964,0,8,0
South Dakota,SD,1964,4,0,0
Tennessee,TN,1964,11,0,0
Texas,TX,1964,25,0,0
Utah,UT,1964,4,0,0
Vermont,VT,1964,3,0,0
Virginia,VA,1964,12,0,0
Washington,WA,1964,9,0,0
West Virginia,WV,1964,7,0,0
Wisconsin,WI,1964,12,0,0
Wyoming,WY,1964,3,0,0
Alabama,AL,1960,5,0,6
Alaska,AK,1960,0,3,0
Arizona,AZ,1960,0,4,0
Arkansas,AR,1960,8,0,0
California,CA,1960,0,32,0
Colorado,CO,1960,0,6,0
Connecticut,CT,1960,8,0,0
Delaware,DE,1960,3,0,0
Florida,FL,1960,0,10,0
Georgia,GA,1960,12,0,0
Hawaii,HI,1960,3,0,0
Idaho,ID,1960,0,4,0
Illinois,IL,1960,27,0,0
Indiana,IN,1960,0,13,0
Iowa,IA,1960,0,10,0
Kansas,KS,1960,0,8,0
Kentucky,KY,1960,0,10,0
Louisiana,LA,1960,10,0,0
Maine,ME,1960,0,5,0
Maryland,MD,1960,9,0,0
Massachusetts,MA,1960,16,0,0
Michigan,MI,1960,20,0,0
Minnesota,MN,1960,11,0,0
Mississippi,MS,1960,0,0,8
Missouri,MO,1960,13,0,0
Montana,MT,1960,0,4,0
Nebraska,NE,1960,0,6,0
Nevada,NV,1960,3,0,0
New Hampshire,NH,1960,0,4,0
New Jersey,NJ,1960,16,0,0
New Mexico,NM,1960,4,0,0
New York,NY,1960,45,0,0
North Carolina,NC,1960,14,0,0
North Dakota,ND,1960,0,4,0
Ohio,OH,1960,0,25,0
Oklahoma,OK,1960,0,7,1
Oregon,OR,1960,0,6,0
Pennsylvania,PA,1960,32,0,0
Rhode Island,RI,1960,4,0,0
South Carolina,SC,1960,8,0,0
South Dakota,SD,1960,0,4,0
Tennessee,TN,1960,0,11,0
Texas,TX,1960,24,0,0
Utah,UT,1960,0,4,0
Vermont,VT,1960,0,3,0
Virginia,VA,1960,0,12,0
Washington,WA,1960,0,9,0
West Virginia,WV,1960,8,0,0
Wisconsin,WI,1960,0,12,0
Wyoming,WY,1960,0,3,0
